id,name,str_number,str_address,lon,lat,kind,units,people
1,Warner Center Marriott,21825;21850,Califa Street;Oxnard Street,-118.6037343,34.1784799,hotel,478,956
2,SLS Beverly Hills,,,-118.3769143,34.0700781,hotel,297,594
3,Elan Hotel Los Angeles,,,-118.374519,34.0763355,hotel,49,98
4,Inn at Venice Beach,,,-118.4641746,33.9809691,hotel,38,76
5,The Rose Hotel,15,Rose Avenue,-118.480125,33.995153,apartments,38,76
6,Value Inn,,,-118.304889,34.0984575,hotel,20,40
7,Los Angeles Airport Marriott,5855,West Century Boulevard,-118.3848244,33.9466461,hotel,1004,2008
8,Banana Bungalow Hollywood,5920,Hollywood Boulevard,-118.3189013,34.1012988,hotel,7,14
9,L.A. Sky Boutique Hotel,2352,Westwood Boulevard,-118.4292586,34.0414091,hotel,28,56
10,Luxe Sunset Boulevard Hotel,11461,Sunset Boulevard,-118.4686,34.0726097,hotel,160,320
11,Beverly Hills Plaza Hotel,10300,Wilshire Boulevard,-118.4258105,34.0674515,hotel,103,206
12,Days Inn Hollywood/Universal Studios,7023,West Sunset Boulevard,-118.3422827,34.0983685,hotel,74,148
13,Hollywood Roosevelt Hotel,7000,Hollywood Boulevard,-118.3421889,34.1009297,hotel,300,600
14,Four Seasons Hotel Los Angeles At Beverly Hills,300,South Doheny Drive,-118.3892142,34.0729469,hotel,285,570
15,Holiday Inn Express,11250,Santa Monica Boulevard,-118.4474043,34.0464787,hotel,160,320
16,Beverly Laurel Motor Hotel,,,-118.3644728,34.075818,hotel,52,104
17,Holiday Inn Express & Suites,1921,Highland Avenue,-118.3381009,34.1059331,hotel,104,208
18,Magic Castle Hotel,,,-118.3425458,34.104501,hotel,40,80
19,Best Western Hollywood Plaza Inn,2011,Highland Avenue,-118.3379128,34.1071961,hotel,82,164
20,Barclay Hotel,,,-118.2473193,34.0484996,hotel,160,320
21,Millennium Biltmore Hotel,506,South Grand Avenue,-118.2538189,34.0493003,hotel,683,1366
22,New seoul hotel,,,-118.2902425,34.0521139,hotel,33,66
23,Metro Plaza Hotel,701,,-118.2378903,34.058737,hotel,80,160
24,Hilton Los Angeles/Universal City,,,-118.3583225,34.1368471,hotel,500,1000
25,Sheraton Universal Hotel,,,-118.3599536,34.1373628,hotel,465,930
26,Howard Johnson by Wyndham Reseda Hotel & Suites,,,-118.5353272,34.2056436,hotel,74,148
27,Hotel Clark,426,South Hill Street,-118.2506582,34.0494201,hotel,135,270
28,Hilton Los Angeles Airport,5711,West Century Boulevard,-118.3816525,33.9461936,hotel,1234,2468
29,Westin Bonaventure,,,-118.255853,34.0527577,hotel,1358,2716
30,Fairmont Century Plaza,2025,Avenue of the Stars,-118.4157229,34.0575083,hotel,400,800
31,America Extended Stay,,,-118.5543901,34.2301379,hotel,151,302
32,Hotel Angeleno,,,-118.4682017,34.0737523,hotel,210,420
33,Hilgard House Hotel,,,-118.441744,34.0632015,hotel,47,94
34,Extended Stay America,6531,Sepulveda Boulevard,-118.3951895,33.9797744,hotel,133,266
35,Renaissance Hotel,9620,Airport Boulevard,-118.3854161,33.9488804,hotel,502,1004
36,Kimpton Hotel Palomar Los Angeles - Beverly Hills - a Kimpton Hotel,10740,Wilshire Boulevard,-118.4374067,34.0600484,hotel,264,528
37,Rotex Hotel,,,-118.3124934,34.052886,hotel,60,120
38,Courtyard,21101,Ventura Boulevard,-118.5931243,34.167688,hotel,122,244
39,Marriott Beverly Hills,1150,South Beverly Drive,-118.3956848,34.0565621,hotel,210,420
40,Cameo Beverly Hills,1224,Beverwil Drive,-118.398548,34.0553596,hotel,138,276
